title,rating,price
The Vacationers,4,£42.15
The Third Wave: An Entrepreneur’s Vision of the Future,5,£12.61
The Stranger,4,£17.44
The Secret (The Secret #1),4,£27.37
The Regional Office Is Under Attack!,5,£51.36
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,5,£37.34
The Murder of Roger Ackroyd (Hercule Poirot #4),4,£44.10
The Mistake (Off-Campus #2),3,£43.29
The Kite Runner,4,£41.82
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,3,£32.00
The Artist's Way: A Spiritual Path to Higher Creativity,5,£38.49
The Art of War,5,£33.34
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,3,£27.55
Something More Than This,4,£16.24
"Shobu Samurai, Project Aryoku (#3)",3,£29.06
Scarlett Epstein Hates It Here,5,£43.55
Redeeming Love,5,£20.47
Poems That Make Grown Women Cry,4,£14.19
Mrs. Houdini,5,£30.25
Modern Romance,5,£28.26
Little Red,3,£13.47
Library of Souls (Miss Peregrine’s Peculiar Children #3),5,£48.56
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,4,£57.36
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,£49.43
Frostbite (Vampire Academy #2),5,£29.99
Finders Keepers (Bill Hodges Trilogy #2),5,£53.53
"Fables, Vol. 1: Legends in Exile (Fables #1)",4,£41.62
Eureka Trivia 6.0,4,£54.59
Drive: The Surprising Truth About What Motivates Us,4,£34.95
Done Rubbed Out (Reightman & Bailey #1),5,£37.72
Doing It Over (Most Likely To #1),3,£35.61
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",3,£42.16
